City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,77.47,broken clouds,-30.1811,-50.2056,Hotel Castelo
1,Albany,US,71.76,broken clouds,42.6001,-73.9662,
2,Rikitea,PF,80.4,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Salalah,OM,75.42,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
6,Butaritari,KI,80.53,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
8,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
9,Lorengau,PG,82.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
10,Peruibe,BR,80.96,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
12,Makakilo City,US,80.01,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
14,Avarua,CK,84.25,clear sky,-21.2078,-159.775,Paradise Inn
21,Finschhafen,PG,81.25,scattered clouds,-6.6024,147.8681,Cossam Guest House
23,Sao Gabriel Da Cachoeira,BR,82.04,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
26,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
27,Tual,ID,84.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
31,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
33,Ponte Nova,BR,75.79,clear sky,-20.4164,-42.9086,Hotel Beira Rio
34,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Hun,LY,72.66,clear sky,29.1268,15.9477,Alrwasi Hotel
